id,nome,cor,material
1,T-shirt,Gray,Canvas
2,Jeans,Orange,Knit
3,Sports Sneakers,Pink,Polyester
4,Jacket,Blue,Denim
5,Bag,Red,Jersey
6,Watch,Yellow,Nylon
7,Sunglasses,Brown,Denim
8,Wallet,Green,Satin
9,Backpack,Blue,Canvas
10,Flip-flops,Purple,Lycra
11,Polo Shirt,Black,Satin
12,Shorts,Pink,Velvet
13,Dress,Black,Twill
14,Skirt,Pink,Knit
15,Blouse,White,Satin
16,Overcoat,Beige,Denim
17,Sweater,Purple,Velvet
18,Dress Shoes,White,Twill
19,Sandals,Orange,Cotton
20,Cap,Orange,Denim
21,Beanie,Purple,Leather
22,Scarf,Orange,Cotton
23,Gloves,Blue,Lycra
24,Casual Sneakers,Gray,Satin
25,Belt,Purple,Denim
26,Socks,Green,Polyester
27,Boxers,Green,Cotton
28,Bra,Red,Satin
29,Bikini,Orange,Twill
30,Swimsuit,Brown,Jersey
31,Jumpsuit,Pink,Nylon
32,Dungarees,Orange,Jersey
33,Blazer,Black,Twill
34,Leggings,Orange,Knit
35,Sports Bra,Brown,Knit
36,Windbreaker,Orange,Nylon
37,Bodysuit,Pink,Canvas
38,Pajamas,Beige,Knit
39,Robe,Gray,Jersey
40,Hat,Yellow,Satin
41,Oxford Shoes,Black,Polyester
42,Mules,Black,Cotton
43,Boots,Orange,Lycra
44,Ankle Boots,Black,Lycra
45,Clogs,Black,Nylon
46,Slip-On Sneakers,Red,Canvas
47,Sweatshirt,Green,Velvet
48,Dress Shirt,Purple,Leather
49,Vest,Yellow,Nylon
50,Crop Top,Blue,Leather
